tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b3830	889.854	496.052	2103.46	1155.03	820.184
b3831	18841	8596.48	10107.3	10022.9	5470.97
b3832	1763.77	1455.61	2823.24	1384.86	1100.58
b3833	11584	5008.9	2441.16	6721.58	3907.84
b3834	5336.47	3157.5	1910.37	3707.89	2704.85
b3835	8518.69	5744.18	4142.83	5024.39	4081.61
b3836	10168.2	6143.48	3032.76	7036.27	4267.98
b3838	11630.5	7277.19	3204.49	8524.85	6110.67
b3839	7363.21	5358.95	3201.2	5223.58	3259.75
b3842	1694.71	1575.23	1129.79	1473.26	1724.32
b3843	12169.8	7032.68	3133.83	8985.69	6386.02
b3844	5610.07	3295.58	1991.71	3603	3495.65
b3845	347.973	1387.89	4464.92	540.98	2285.94
b3846	220.471	483.739	4403.3	597.553	1153.46
b3847	8893.23	3102.09	2990.03	7848.33	4080.77
b3848	1033.29	416.895	626.108	975.885	743.791
b3849	5667.18	3613.09	3039.33	3511.06	2559.61
b3850	3520.9	1944.63	2113.32	2023.66	966.256
b3851	58.4382	6.15668	6.57331	16.5005	0
b3852	0	0	0	0	0
b3853	0	0	0	0	0
b3854	73.0477	45.7353	25.4716	33.0009	0
b3855	0	1.75905	0.821664	7.07163	0
b3856	694.618	454.715	520.113	528.015	458.363
b3857	1406.5	935.815	724.707	1305.89	1087.98
b3858	7963.53	3716.87	1305.62	4544.7	1756.22
b3859	9915.9	8065.25	3385.25	5749.24	4972.32
b3860	40708.8	46024.7	13697.1	21197.2	12992.8
b3861	515.319	4147.84	8108.18	418.405	3959.89
b3862	1446.35	3289.42	2950.59	1348.32	2285.94
b3863	12315.8	4325.51	5113.21	8384.6	6505.23
b3864	26.5628	68.603	96.1347	56.573	49.5301
b3865	7302.12	6190.98	3229.14	4898.28	3441.92
b3866	4672.4	2158.36	1234.14	4870	2364.85
b3867	10329	11256.2	11169.7	8151.23	14314.2
b3868	2410.58	2508.41	6944.7	5134	6396.1
b3869	1812.91	1749.38	3231.6	4667.28	4585.31
b3870	27553.6	8937.74	6293.12	67101.5	32829.2
b3871	49078.8	27583.7	10622.5	47779.5	26075.5
b3872	284.222	783.657	462.597	443.156	1218.94
b3873	110.236	303.436	1708.24	245.15	855.443
b3874	62.4226	317.509	1173.34	67.1805	921.763
b3875	27.891	249.785	1492.14	24.7507	562.46
b3876	104.923	807.404	2440.34	136.718	1753.7
b3877	260.316	459.112	934.232	260.472	719.445
b3878	158.049	293.761	1052.55	141.433	1025.02
b3879	83.6729	165.351	684.446	108.432	401.278
b3880	506.022	4110.9	3310.48	438.441	5930.18
b3881	143.439	266.496	1259.61	99.0028	825.221
b3882	50.4693	94.9887	569.413	56.573	183.849
b3883	69.0633	95.8683	538.19	78.9665	426.462
b3884	1948.38	951.646	995.856	1469.72	1173.61
b3885	1696.04	1058.95	1002.43	1231.64	1457.36
b3886	1175.4	605.113	1285.9	1072.53	925.961
b3887	1285.64	425.69	694.306	779.058	539.794
b3888	4409.43	2540.95	3159.3	3531.1	3070.86
b3889	25.2347	307.834	949.022	22.3935	434.857
b3890	63.7508	572.571	751.001	42.4298	303.057
b3891	21699.2	14405.7	7564.24	10570.9	9117.73
b3892	13844.5	7249.05	4542.98	4798.1	3483.89
b3893	20931.5	9556.92	5790.26	7183.6	6277.73
b3894	90118.3	39924.3	17175.2	43102.8	41429
b3895	1527.36	805.645	484.782	1562.83	1265.12
b3896	261.644	1216.38	1995	192.113	1753.7
b3897	262.972	809.163	3047.55	289.937	1591.68
b3898	363.911	304.316	912.868	255.757	383.648
b3899	115.548	147.76	696.771	114.325	256.885
b3900	23.9065	87.9525	190.626	25.9293	129.282
b3901	19.9221	78.2778	364.819	16.5005	232.539
b3902	47.8131	134.567	621.178	67.1805	295.501
b3903	131.486	277.93	961.347	134.361	480.19
b3904	65.0789	174.146	907.938	71.8949	214.91
b3905	146.095	189.098	435.482	133.182	360.982
b3906	221.8	272.653	819.199	153.219	336.637
b3907	177.971	606.873	735.389	122.575	725.322
b3908	44571.1	16432.2	5183.88	25589.9	10484.4
b3909	253.675	459.992	675.408	238.078	883.986
b3910	1492.83	3114.4	1526.65	1188.03	2677.98
b3911	6713.75	4940.29	2708.2	5989.67	4328.42
b3912	7399.07	3242.81	1870.11	5861.2	3009.58
b3915	3600.59	1930.56	1284.26	2920.58	1783.92
b3916	34711	12342.4	4546.27	14218.7	8519.17
b3917	177.971	664.042	2516.76	1008.89	1572.37
b3918	2083.85	4400.27	4073.81	1595.83	5154.49
b3919	124182	74559.1	25050.1	86634.5	35523.1
b3920	3017.54	2713.34	1248.11	2893.48	2901.29
b3921	662.742	613.909	439.59	483.228	1102.25
b3922	2295.03	1547.09	1199.63	2848.69	2199.47
b3923	3109.18	2348.33	1866.82	3702	2626.77
b3924	5505.14	3174.21	2050.05	3813.97	4555.93
b3925	3489.03	1263.88	1003.25	2264.1	1259.24
b3926	1357.36	963.96	1192.23	886.311	1813.3
b3927	265.628	463.51	496.285	317.045	976.33
